date,open,high,low,close,volume
2019-01-01,1.14598,1.14676,1.14426,1.14449,0
2019-01-02,1.1445,1.14967,1.13092,1.13672,0
2019-01-03,1.13672,1.14118,1.13374,1.13941,0
2019-01-04,1.13941,1.14189,1.13456,1.13943,0
2019-01-06,1.13955,1.14299,1.13954,1.14203,0
2019-01-07,1.14203,1.14844,1.141,1.14387,0
2019-01-08,1.14389,1.14692,1.14222,1.14597,0
2019-01-09,1.14598,1.15697,1.14389,1.15584,0
2019-01-10,1.15584,1.15627,1.14844,1.15289,0
2019-01-11,1.1529,1.15403,1.1458,1.14656,0
2019-01-13,1.14589,1.14776,1.14583,1.14757,0
2019-01-14,1.14761,1.14896,1.14506,1.14798,0
2019-01-15,1.14798,1.14832,1.13819,1.14101,0
2019-01-16,1.14101,1.14248,1.13777,1.13825,0
2019-01-17,1.13825,1.14059,1.137,1.13936,0
2019-01-18,1.13936,1.14103,1.13532,1.13614,0
2019-01-20,1.13603,1.13801,1.13602,1.13786,0
2019-01-21,1.13786,1.1391,1.13557,1.13584,0
2019-01-22,1.13585,1.13739,1.13361,1.13663,0
2019-01-23,1.13663,1.13942,1.13505,1.13861,0
2019-01-24,1.13861,1.13879,1.12892,1.13203,0
2019-01-25,1.13204,1.14176,1.13146,1.14032,0
2019-01-27,1.14005,1.14256,1.14004,1.14189,0
2019-01-28,1.14189,1.14436,1.139,1.14315,0
2019-01-29,1.14315,1.14501,1.14111,1.144,0
2019-01-30,1.14401,1.1508,1.14062,1.15027,0
2019-01-31,1.15026,1.15141,1.14356,1.1442,0
2019-02-01,1.1442,1.14884,1.14343,1.14547,0
2019-02-03,1.14503,1.14603,1.14412,1.14424,0
2019-02-04,1.14424,1.14542,1.14244,1.1432,0
2019-02-05,1.14321,1.14356,1.13958,1.14011,0
2019-02-06,1.14011,1.14023,1.13567,1.13619,0
2019-02-07,1.13619,1.13665,1.13244,1.13409,0
2019-02-08,1.13409,1.13508,1.13207,1.13207,0
2019-02-10,1.13186,1.13277,1.13148,1.13194,0
2019-02-11,1.13194,1.13298,1.12672,1.1276,0
2019-02-12,1.1276,1.13414,1.12577,1.13367,0
2019-02-13,1.13366,1.13395,1.1249,1.128,0
2019-02-14,1.128,1.13098,1.12498,1.12871,0
2019-02-15,1.12871,1.13061,1.1234,1.12925,0
2019-02-17,1.12906,1.13248,1.12889,1.1312,0
2019-02-18,1.13119,1.13338,1.1293,1.12966,0
2019-02-19,1.12966,1.13574,1.12755,1.13436,0
2019-02-20,1.13437,1.13711,1.13249,1.13497,0
2019-02-21,1.13497,1.13663,1.13202,1.13362,0
2019-02-22,1.13361,1.13556,1.13161,1.13319,0
2019-02-24,1.1334,1.13492,1.13281,1.13398,0
2019-02-25,1.13398,1.13675,1.13367,1.13583,0
2019-02-26,1.13584,1.14027,1.1345,1.13766,0
2019-02-27,1.13767,1.14036,1.13622,1.13767,0
2019-02-28,1.13766,1.14197,1.13595,1.13739,0
2019-03-01,1.13739,1.14085,1.13533,1.13633,0
2019-03-03,1.13811,1.13826,1.13617,1.13644,0
2019-03-04,1.13645,1.13691,1.1309,1.13307,0
2019-03-05,1.13306,1.13384,1.12895,1.12988,0
2019-03-06,1.12987,1.13245,1.12855,1.13041,0
2019-03-07,1.13039,1.13202,1.11764,1.11989,0
2019-03-08,1.11989,1.12461,1.11968,1.12311,0
2019-03-10,1.12316,1.12374,1.12229,1.12334,0
2019-03-11,1.12333,1.12738,1.12217,1.12513,0
2019-03-12,1.12512,1.13049,1.12492,1.12834,0
2019-03-13,1.12833,1.13385,1.12773,1.13189,0
2019-03-14,1.13188,1.13361,1.1294,1.13189,0
2019-03-15,1.13189,1.13443,1.13,1.1324,0
2019-03-17,1.13201,1.13383,1.13189,1.13363,0
2019-03-18,1.13363,1.13589,1.13245,1.1346,0
2019-03-19,1.13459,1.13615,1.13384,1.1346,0
2019-03-20,1.13461,1.1448,1.13354,1.1426,0
2019-03-21,1.14259,1.14296,1.13425,1.13776,0
2019-03-22,1.13776,1.13905,1.12732,1.13004,0
2019-03-24,1.12892,1.13011,1.12883,1.1298,0
2019-03-25,1.12981,1.13314,1.12945,1.1311,0
2019-03-26,1.1311,1.13259,1.12509,1.12577,0
2019-03-27,1.12576,1.12855,1.12421,1.12546,0
2019-03-28,1.12546,1.12612,1.12135,1.12301,0
2019-03-29,1.12301,1.12466,1.12098,1.12179,0
2019-03-31,1.12254,1.12339,1.12199,1.12319,0
2019-04-01,1.12321,1.12498,1.11971,1.12025,0
2019-04-02,1.12026,1.12264,1.11836,1.12216,0
2019-04-03,1.12216,1.12547,1.12151,1.1242,0
2019-04-04,1.12421,1.12475,1.12059,1.12239,0
2019-04-05,1.12239,1.12472,1.12099,1.12142,0
2019-04-07,1.12138,1.12322,1.12118,1.12292,0
2019-04-08,1.12291,1.12744,1.12215,1.12672,0
2019-04-09,1.12673,1.12842,1.12553,1.12605,0
2019-04-10,1.12604,1.12876,1.12294,1.12766,0
2019-04-11,1.12766,1.12947,1.12498,1.12899,0
2019-04-12,1.12899,1.13239,1.12815,1.12976,0
2019-04-14,1.13035,1.13143,1.12991,1.1311,0
2019-04-15,1.13111,1.13209,1.12926,1.13026,0
2019-04-16,1.13026,1.13139,1.12788,1.1303,0
2019-04-17,1.1303,1.13237,1.12895,1.1294,0
2019-04-18,1.1294,1.13039,1.12261,1.12366,0
2019-04-19,1.12365,1.12476,1.1235,1.12408,0
2019-04-21,1.12408,1.12453,1.12366,1.12367,0
2019-04-22,1.12366,1.1262,1.12357,1.1253,0
2019-04-23,1.1253,1.12612,1.11921,1.1211,0
2019-04-24,1.1211,1.12232,1.11406,1.11565,0
2019-04-25,1.11565,1.11623,1.11178,1.11358,0
2019-04-26,1.11357,1.11739,1.11111,1.11429,0
2019-04-28,1.11441,1.11588,1.11441,1.11577,0
2019-04-29,1.11576,1.11929,1.11452,1.11872,0
2019-04-30,1.11873,1.1229,1.11757,1.12184,0
2019-05-01,1.12183,1.12647,1.1187,1.12059,0
2019-05-02,1.12061,1.1219,1.11703,1.11734,0
2019-05-03,1.11733,1.12047,1.1135,1.12007,0
2019-05-05,1.11799,1.12003,1.11672,1.11936,0
2019-05-06,1.11935,1.12092,1.1179,1.12073,0
2019-05-07,1.12072,1.12178,1.11666,1.12037,0
2019-05-08,1.12037,1.12136,1.11827,1.11909,0
2019-05-09,1.11908,1.12509,1.11734,1.12296,0
2019-05-10,1.12295,1.12536,1.12177,1.12329,0
2019-05-12,1.1232,1.12408,1.12289,1.12296,0
2019-05-13,1.12297,1.12635,1.12191,1.12392,0
2019-05-14,1.12393,1.12439,1.12007,1.12084,0
2019-05-15,1.12085,1.12245,1.11779,1.12085,0
2019-05-16,1.12086,1.12238,1.11662,1.11773,0
2019-05-17,1.11773,1.11841,1.11551,1.11563,0
2019-05-19,1.11598,1.11676,1.11531,1.11538,0
2019-05-20,1.11539,1.11748,1.11506,1.11632,0
2019-05-21,1.11631,1.1188,1.11419,1.11618,0
2019-05-22,1.11618,1.11802,1.1148,1.11502,0
2019-05-23,1.11503,1.11875,1.1107,1.11811,0
2019-05-24,1.11812,1.12121,1.11781,1.12043,0
2019-05-26,1.12108,1.12151,1.12104,1.12139,0
2019-05-27,1.11938,1.11995,1.11794,1.11822,0
2019-05-28,1.11822,1.11983,1.11592,1.11651,0
2019-05-29,1.11652,1.11691,1.11243,1.11381,0
2019-05-30,1.11382,1.11433,1.1116,1.11306,0
2019-05-31,1.11306,1.11797,1.11251,1.11678,0
2019-06-02,1.11607,1.11898,1.11607,1.11846,0
2019-06-03,1.11846,1.12619,1.11601,1.12534,0
2019-06-04,1.12534,1.12774,1.12267,1.12615,0
2019-06-05,1.12615,1.13065,1.122,1.12303,0
2019-06-06,1.12303,1.1309,1.12008,1.12669,0
2019-06-07,1.12669,1.13477,1.12512,1.13334,0
2019-06-09,1.1322,1.13308,1.13104,1.13109,0
2019-06-10,1.13108,1.13243,1.12902,1.13138,0
2019-06-11,1.13137,1.13374,1.13013,1.13334,0
2019-06-12,1.13334,1.13434,1.12824,1.12932,0
2019-06-13,1.12932,1.13037,1.12683,1.12719,0
2019-06-14,1.12719,1.12891,1.12024,1.1205,0
2019-06-16,1.12089,1.12241,1.12088,1.12201,0
2019-06-17,1.12201,1.1247,1.12037,1.12302,0
2019-06-18,1.12302,1.12428,1.11813,1.11933,0
2019-06-19,1.11933,1.12729,1.11871,1.12712,0
2019-06-20,1.12712,1.13173,1.126,1.13018,0
2019-06-21,1.13019,1.13777,1.1283,1.13679,0
2019-06-23,1.13695,1.13862,1.13662,1.1381,0
2019-06-24,1.13809,1.14102,1.13725,1.14065,0
2019-06-25,1.14065,1.14119,1.13442,1.13555,0
2019-06-26,1.13556,1.13913,1.13474,1.13591,0
2019-06-27,1.13592,1.13814,1.13477,1.13653,0
2019-06-28,1.13653,1.13933,1.13506,1.13681,0
2019-06-30,1.13595,1.1371,1.1348,1.13526,0
2019-07-01,1.13526,1.13601,1.12751,1.12799,0
2019-07-02,1.12798,1.13215,1.12778,1.12871,0
2019-07-03,1.12871,1.13123,1.12686,1.12822,0
2019-07-04,1.12822,1.12899,1.12731,1.12823,0
2019-07-05,1.12823,1.12826,1.12073,1.12235,0
2019-07-07,1.12215,1.12297,1.12196,1.12282,0
2019-07-08,1.12281,1.12344,1.12069,1.12115,0
2019-07-09,1.12114,1.12181,1.11933,1.12071,0
2019-07-10,1.12071,1.12807,1.12034,1.12783,0
2019-07-11,1.12783,1.12857,1.12451,1.12718,0
2019-07-12,1.12717,1.12748,1.12381,1.12698,0
2019-07-14,1.12666,1.12745,1.12626,1.12723,0
2019-07-15,1.12723,1.12838,1.12532,1.12597,0
2019-07-16,1.12597,1.12618,1.12018,1.12133,0
2019-07-17,1.12135,1.12416,1.11997,1.12392,0
2019-07-18,1.12393,1.1282,1.12051,1.12624,0
2019-07-19,1.12625,1.12654,1.12033,1.12192,0
2019-07-21,1.1215,1.122,1.12075,1.1218,0
2019-07-22,1.12179,1.12253,1.11911,1.11949,0
2019-07-23,1.11949,1.11959,1.11432,1.11437,0
2019-07-24,1.11437,1.11558,1.11269,1.11354,0
2019-07-25,1.11355,1.11877,1.11013,1.11488,0
2019-07-26,1.11489,1.11492,1.1112,1.11247,0
