date,open,high,low,close,volume
2019-01-01 18:00:00,2506.769,2520.069,2505.57,2516.27,0
2019-01-01 19:00:00,2516.57,2519.069,2515.07,2517.07,0
2019-01-01 20:00:00,2517.07,2518.77,2504.57,2504.77,0
2019-01-01 21:00:00,2504.77,2505.27,2487.069,2492.269,0
2019-01-01 22:00:00,2492.269,2493.77,2488.97,2492.27,0
2019-01-01 23:00:00,2492.57,2492.77,2479.069,2484.569,0
2019-01-02 00:00:00,2484.569,2487.07,2476.07,2477.17,0
2019-01-02 01:00:00,2477.17,2484.766,2477.07,2481.07,0
2019-01-02 02:00:00,2481.07,2483.57,2474.77,2475.57,0
2019-01-02 03:00:00,2475.069,2475.77,2451.569,2456.57,0
2019-01-02 04:00:00,2456.57,2468.27,2455.57,2467.17,0
2019-01-02 05:00:00,2467.17,2470.27,2462.769,2464.67,0
2019-01-02 06:00:00,2464.67,2470.97,2462.77,2468.77,0
2019-01-02 07:00:00,2469.27,2477.069,2467.07,2467.07,0
2019-01-02 08:00:00,2467.07,2469.77,2460.769,2463.77,0
2019-01-02 09:00:00,2463.77,2480.87,2463.569,2478.87,0
2019-01-02 10:00:00,2478.67,2499.27,2473.17,2496.47,0
2019-01-02 11:00:00,2496.47,2512.47,2493.47,2496.77,0
2019-01-02 12:00:00,2496.97,2511.27,2494.47,2509.47,0
2019-01-02 13:00:00,2509.47,2520.27,2509.37,2519.47,0
2019-01-02 14:00:00,2519.47,2519.77,2505.269,2506.47,0
2019-01-02 15:00:00,2506.469,2512.47,2494.769,2509.97,0
2019-01-02 16:00:00,2509.97,2511.469,2509.27,2510.47,0
2019-01-02 18:00:00,2480.27,2482.369,2469.67,2473.67,0
2019-01-02 19:00:00,2473.67,2479.37,2473.37,2473.87,0
2019-01-02 20:00:00,2474.17,2483.369,2472.87,2482.169,0
2019-01-02 21:00:00,2482.169,2483.87,2475.869,2476.669,0
2019-01-02 22:00:00,2476.669,2478.37,2474.369,2477.17,0
2019-01-02 23:00:00,2477.17,2478.37,2474.37,2476.37,0
2019-01-03 00:00:00,2476.37,2477.17,2469.669,2472.169,0
2019-01-03 01:00:00,2472.37,2473.169,2462.37,2470.67,0
2019-01-03 02:00:00,2470.67,2478.87,2470.37,2473.37,0
2019-01-03 03:00:00,2473.37,2479.67,2471.17,2473.369,0
2019-01-03 04:00:00,2473.369,2478.169,2468.869,2469.37,0
2019-01-03 05:00:00,2469.37,2472.87,2465.87,2468.169,0
2019-01-03 06:00:00,2467.869,2473.27,2464.87,2470.369,0
2019-01-03 07:00:00,2470.369,2479.37,2469.869,2479.37,0
2019-01-03 08:00:00,2479.669,2489.17,2477.87,2487.67,0
2019-01-03 09:00:00,2487.87,2492.27,2473.969,2478.47,0
2019-01-03 10:00:00,2474.97,2475.47,2446.97,2460.17,0
2019-01-03 11:00:00,2460.47,2488.67,2456.97,2477.97,0
2019-01-03 12:00:00,2477.97,2480.169,2467.17,2476.97,0
2019-01-03 13:00:00,2476.97,2477.17,2454.169,2458.47,0
2019-01-03 14:00:00,2458.47,2473.07,2451.869,2455.169,0
2019-01-03 15:00:00,2455.469,2461.169,2443.27,2447.77,0
2019-01-03 16:00:00,2447.77,2454.57,2446.269,2448.07,0
2019-01-03 18:00:00,2450.77,2455.57,2447.77,2449.27,0
2019-01-03 19:00:00,2449.27,2451.07,2438.27,2441.57,0
2019-01-03 20:00:00,2441.57,2452.27,2440.57,2448.57,0
2019-01-03 21:00:00,2448.77,2455.07,2445.07,2455.069,0
2019-01-03 22:00:00,2455.27,2461.27,2454.57,2458.569,0
2019-01-03 23:00:00,2458.569,2461.27,2457.27,2460.269,0
2019-01-04 00:00:00,2460.269,2464.77,2458.769,2463.07,0
2019-01-04 01:00:00,2463.07,2471.57,2462.57,2470.269,0
2019-01-04 02:00:00,2470.57,2474.069,2467.27,2472.27,0
2019-01-04 03:00:00,2472.27,2476.97,2467.27,2473.069,0
2019-01-04 04:00:00,2473.069,2483.07,2469.57,2477.77,0
2019-01-04 05:00:00,2477.57,2483.27,2475.769,2482.57,0
2019-01-04 06:00:00,2482.57,2486.27,2478.77,2482.57,0
2019-01-04 07:00:00,2482.27,2483.77,2477.07,2478.77,0
2019-01-04 08:00:00,2478.97,2483.57,2470.27,2478.569,0
2019-01-04 09:00:00,2478.27,2498.67,2475.269,2498.17,0
2019-01-04 10:00:00,2498.17,2520.87,2487.669,2517.37,0
2019-01-04 11:00:00,2516.37,2525.37,2509.369,2518.87,0
2019-01-04 12:00:00,2518.67,2534.07,2513.17,2531.37,0
2019-01-04 13:00:00,2531.37,2538.07,2524.569,2528.57,0
2019-01-04 14:00:00,2529.07,2534.87,2522.069,2523.569,0
2019-01-04 15:00:00,2523.37,2533.57,2521.569,2531.27,0
2019-01-04 16:00:00,2531.27,2533.27,2528.27,2529.77,0
2019-01-06 18:00:00,2534.77,2537.47,2531.569,2536.969,0
2019-01-06 19:00:00,2536.969,2550.469,2535.77,2542.77,0
2019-01-06 20:00:00,2542.77,2545.47,2538.47,2539.97,0
2019-01-06 21:00:00,2539.97,2542.47,2537.47,2537.47,0
2019-01-06 22:00:00,2537.47,2538.97,2535.969,2538.769,0
2019-01-06 23:00:00,2538.769,2539.27,2536.27,2537.469,0
2019-01-07 00:00:00,2537.469,2539.27,2534.27,2534.769,0
2019-01-07 01:00:00,2535.266,2537.37,2531.47,2536.97,0
2019-01-07 02:00:00,2536.77,2540.47,2534.969,2538.97,0
2019-01-07 03:00:00,2538.77,2538.97,2530.469,2530.769,0
2019-01-07 04:00:00,2530.769,2533.77,2525.269,2525.969,0
2019-01-07 05:00:00,2525.969,2530.47,2524.469,2528.47,0
2019-01-07 06:00:00,2528.47,2529.27,2522.769,2526.97,0
2019-01-07 07:00:00,2526.769,2532.47,2525.77,2531.27,0
2019-01-07 08:00:00,2530.97,2533.27,2526.469,2527.77,0
2019-01-07 09:00:00,2527.77,2535.87,2523.57,2531.97,0
2019-01-07 10:00:00,2531.869,2548.97,2527.97,2546.269,0
2019-01-07 11:00:00,2546.269,2561.27,2544.47,2560.97,0
2019-01-07 12:00:00,2561.27,2563.969,2554.969,2561.77,0
2019-01-07 13:00:00,2561.77,2566.77,2554.77,2555.77,0
2019-01-07 14:00:00,2555.77,2558.77,2546.769,2547.669,0
2019-01-07 15:00:00,2547.669,2558.669,2547.37,2549.069,0
2019-01-07 16:00:00,2549.37,2551.57,2547.57,2549.87,0
2019-01-07 18:00:00,2552.37,2553.37,2548.37,2549.869,0
2019-01-07 19:00:00,2549.869,2557.07,2549.869,2556.57,0
2019-01-07 20:00:00,2556.869,2558.07,2552.569,2555.57,0
2019-01-07 21:00:00,2555.57,2560.87,2555.069,2558.869,0
2019-01-07 22:00:00,2558.869,2560.87,2558.069,2558.369,0
2019-01-07 23:00:00,2558.369,2562.069,2556.87,2561.87,0
2019-01-08 00:00:00,2561.87,2562.07,2553.37,2554.57,0
2019-01-08 01:00:00,2554.57,2557.57,2553.069,2556.869,0
2019-01-08 02:00:00,2556.869,2560.07,2553.369,2553.369,0
2019-01-08 03:00:00,2553.87,2563.87,2552.869,2563.069,0
2019-01-08 04:00:00,2563.069,2567.47,2560.069,2560.57,0
2019-01-08 05:00:00,2560.57,2566.07,2558.869,2565.57,0
2019-01-08 06:00:00,2565.57,2570.869,2563.369,2569.069,0
2019-01-08 07:00:00,2569.069,2570.87,2562.569,2566.57,0
2019-01-08 08:00:00,2566.57,2573.87,2564.369,2573.37,0
2019-01-08 09:00:00,2573.37,2580.169,2566.97,2569.169,0
2019-01-08 10:00:00,2569.169,2573.97,2547.169,2551.869,0
2019-01-08 11:00:00,2552.269,2560.669,2549.869,2559.87,0
2019-01-08 12:00:00,2559.87,2567.37,2553.869,2558.87,0
2019-01-08 13:00:00,2558.669,2571.67,2555.869,2568.87,0
2019-01-08 14:00:00,2568.87,2572.67,2566.17,2569.57,0
2019-01-08 15:00:00,2569.57,2576.37,2565.07,2574.47,0
2019-01-08 16:00:00,2574.27,2575.27,2571.269,2571.469,0
2019-01-08 18:00:00,2568.769,2576.069,2568.07,2575.77,0
2019-01-08 19:00:00,2575.77,2578.269,2573.769,2574.57,0
2019-01-08 20:00:00,2574.57,2583.169,2574.07,2582.27,0
2019-01-08 21:00:00,2582.27,2585.27,2579.769,2582.569,0
2019-01-08 22:00:00,2582.569,2583.57,2581.069,2583.269,0
2019-01-08 23:00:00,2583.77,2584.069,2581.269,2582.57,0
2019-01-09 00:00:00,2582.269,2583.77,2581.27,2582.269,0
2019-01-09 01:00:00,2582.269,2582.569,2576.77,2577.269,0
2019-01-09 02:00:00,2577.269,2581.27,2574.269,2575.569,0
