time,open,high,low,close,volume,amount
2018-01-02,5.09972254,5.1172173,4.95101708,5.01224874,808403584,4627432554.2
2018-01-03,5.0297435,5.10846992,4.9422697,5.04723826,920704544,5295716776.95
2018-01-04,5.01224874,5.04723826,4.97725922,5.00350136,585918592,3352707441.23
2018-01-05,5.02099612,5.02099612,4.86354328,4.88103804,1010873488,5677961467.14
2018-01-08,4.86354328,4.91602756,4.74107996,4.88103804,1020298464,5621245374.87
2018-01-09,4.8547959,5.27467014,4.8547959,5.25717538,2055435488,11951942254.67
2018-01-10,5.23093324,5.36214394,5.18719634,5.32715442,1732421168,10485666287.93
2018-01-11,5.30091228,5.36214394,5.248428,5.32715442,875238256,5308262694.67
2018-01-12,5.34464918,5.3796387,5.27467014,5.30965966,819171648,4983461714.27
2018-01-15,5.32715442,5.6420601,5.28341752,5.48460726,1778216704,11197016484.01
2018-01-16,5.54583892,5.62456534,5.47585988,5.58957582,1105818640,7028685044.28
2018-01-17,5.69454438,5.7295339,5.34464918,5.56333368,1513020544,9607347329.5
2018-01-18,5.52834416,5.63331272,5.4671125,5.56333368,736082960,4666993930.84
2018-01-19,5.58082844,5.83450246,5.54583892,5.8170077,1629085120,10683186387.43
2018-01-22,5.79076556,5.83450246,5.70329176,5.8170077,1026397648,6783879469.36
2018-01-23,5.82575508,5.84324984,5.65080748,5.67704962,1149106160,7529075289.15
2018-01-24,5.62456534,5.74702866,5.39713346,5.7295339,1454417824,9235769713.02
2018-01-25,5.69454438,5.7295339,5.52834416,5.53709154,878092352,5658415698.84
2018-01-26,5.49335464,5.60707058,5.4671125,5.49335464,704302112,4450188909.23
2018-01-29,5.31840704,5.44087036,5.23093324,5.28341752,1422338896,8654648058.3
2018-01-30,5.28341752,5.37089132,5.26592276,5.30965966,610936192,3714733715.89
2018-01-31,5.26592276,5.37089132,5.25717538,5.31840704,563153040,3430377557.97
2018-02-01,5.31840704,5.31840704,4.86354328,4.95976446,1509067168,8704590301.32
2018-02-02,4.9422697,5.0297435,4.8985328,4.96851184,758220528,4302000385.57
2018-02-05,4.8985328,5.02099612,4.82855376,5.00350136,548463552,3111795484.39
2018-02-06,4.88103804,4.9422697,4.68859568,4.68859568,919180800,5050850461.0
2018-02-07,4.811059,4.8985328,4.66235354,4.7235852,814526800,4458303463.31
2018-02-08,4.70609044,4.88103804,4.69734306,4.88103804,706884368,3898623795.92
2018-02-09,4.74107996,4.78481686,4.45241642,4.53989022,1051352816,5567454301.08
2018-02-12,4.60986926,4.75857472,4.57487974,4.69734306,660009728,3507426592.89
2018-02-13,4.7673221,4.9422697,4.71483782,4.83730114,742483872,4099804582.23
2018-02-14,4.83730114,4.86354328,4.7673221,4.83730114,356369392,1964891346.6
2018-02-22,4.88978542,4.96851184,4.84604852,4.95101708,541836112,3048601175.38
2018-02-23,4.93352232,4.95101708,4.81980638,4.88103804,501363232,2798338196.07
2018-02-26,4.9422697,5.12596468,4.78481686,5.06473302,1159106320,6608082284.57
2018-02-27,5.0734804,5.1172173,4.96851184,4.99475398,670722656,3859268098.99
2018-02-28,4.90728018,5.01224874,4.86354328,4.95101708,481089056,2723804573.49
2018-03-01,4.88978542,5.04723826,4.88103804,4.9860066,525430464,2991961530.15
2018-03-02,4.92477494,4.97725922,4.8985328,4.8985328,450972048,2539259603.68
2018-03-05,4.95101708,4.9860066,4.86354328,4.88978542,370395216,2081748429.86
2018-03-06,4.92477494,5.1172173,4.88103804,5.06473302,1090101136,6281547777.54
2018-03-07,5.05598564,5.06473302,4.9422697,4.95976446,636393936,3630404287.72
2018-03-08,4.9422697,5.01224874,4.92477494,4.99475398,379300544,2154019969.69
2018-03-09,5.0734804,5.18719634,5.0297435,5.13471206,1080458816,6327162780.88
2018-03-12,5.17844896,5.31840704,5.14345944,5.30091228,958211312,5756363029.01
2018-03-13,5.28341752,5.28341752,5.19594372,5.21343848,583968688,3495529962.68
2018-03-14,5.16970158,5.2921649,5.1609542,5.2046911,542738112,3242204115.08
2018-03-15,5.16970158,5.25717538,5.14345944,5.2046911,523836352,3105370131.01
2018-03-16,5.2046911,5.248428,5.06473302,5.06473302,501264624,2951590607.29
2018-03-19,5.08222778,5.14345944,5.0297435,5.09972254,405058288,2360070672.34
2018-03-20,5.03849088,5.08222778,4.9860066,5.03849088,485348080,2792131041.86
2018-03-21,5.0734804,5.15220682,5.00350136,5.0297435,518970432,3025558370.17
2018-03-22,5.03849088,5.0734804,4.93352232,4.96851184,490705776,2799489762.87
2018-03-23,4.70609044,4.82855376,4.53114284,4.77606948,1097666432,5911184310.78
2018-03-26,4.6798483,4.75857472,4.57487974,4.75857472,562118432,3013166918.39
2018-03-27,4.84604852,4.86354328,4.7673221,4.811059,557183680,3063969976.21
2018-03-28,4.7235852,4.7673221,4.64485878,4.67110092,489357088,2628740513.13
2018-03-29,4.7235852,4.74107996,4.56613236,4.69734306,558912176,2974675803.06
2018-03-30,4.68859568,4.69734306,4.60986926,4.65360616,533063536,2832923165.41
2018-04-02,4.65360616,4.70609044,4.60986926,4.6361114,434081520,2310876025.96
2018-04-03,4.5486376,4.60112188,4.48740594,4.53114284,597507920,3100437995.82
2018-04-04,4.52239546,4.57487974,4.48740594,4.48740594,415953008,2151582007.19
2018-04-09,4.4611638,4.52239546,4.39118476,4.4611638,510986656,2596847538.56
2018-04-10,4.4611638,4.60986926,4.45241642,4.58362712,640915248,3328193105.55
2018-04-11,4.60112188,4.62736402,4.55738498,4.58362712,471498224,2478101370.79
2018-04-12,4.58362712,4.60986926,4.53114284,4.57487974,336710320,1756283030.21
2018-04-13,4.5923745,4.64485878,4.57487974,4.5923745,365252656,1921596750.4
2018-04-16,4.57487974,4.57487974,4.43492166,4.44366904,528665968,2705635307.27
2018-04-17,4.45241642,4.48740594,4.27746882,4.27746882,635609328,3178384761.61
2018-04-18,4.32120572,4.33870048,3.8488472,4.0675317,1159564960,5377942165.75
2018-04-19,4.09377384,4.14625812,4.03254218,4.0675317,714279584,3341169871.83
2018-04-20,4.10252122,4.10252122,3.90133148,3.92757362,809329568,3669723672.24
2018-04-23,3.91882624,4.09377384,3.69139436,4.09377384,1317895168,5856560285.5
2018-04-24,3.9800579,4.08502646,3.94506838,4.04128956,1059738880,4888740799.52
2018-04-25,3.9800579,4.0237948,3.91007886,3.92757362,701906624,3174903860.63
2018-04-26,3.88383672,3.8925841,3.7176365,3.73513126,860380208,3727814501.27
2018-04-27,3.77012078,3.81385768,3.69139436,3.77886816,609883728,2620556382.36
2018-05-02,3.78761554,3.8051103,3.70014174,3.73513126,405108240,1735060096.25
2018-05-03,3.74387864,3.97131052,3.73513126,3.92757362,1055358960,4662226439.69
2018-05-04,3.8925841,3.936321,3.84009982,3.85759458,541875936,2400756081.2
2018-05-07,3.88383672,3.97131052,3.87508934,3.936321,576137520,2594691188.28
2018-05-08,3.936321,4.04128956,3.91882624,4.00630004,640866000,2925880325.3
2018-05-09,3.98880528,3.99755266,3.94506838,3.98880528,383876048,1742136996.75
2018-05-10,3.99755266,4.03254218,3.88383672,3.92757362,517589968,2332829954.39
2018-05-11,3.936321,3.936321,3.85759458,3.86634196,392952768,1740697610.47
2018-05-14,3.8925841,3.95381576,3.87508934,3.91882624,494806352,2218609564.82
2018-05-15,3.936321,3.94506838,3.84009982,3.8925841,464309632,2057529792.42
2018-05-16,3.85759458,3.86634196,3.79636292,3.81385768,456962768,1998342426.59
2018-05-17,3.79636292,3.84009982,3.79636292,3.8051103,231155629,1006555263.47
2018-05-18,3.8051103,3.8051103,3.74387864,3.79636292,336110496,1449862572.46
2018-05-21,3.85759458,3.88383672,3.82260506,3.85759458,433398864,1908466989.91
2018-05-22,3.85759458,3.85759458,3.8051103,3.84009982,276950416,1210816612.38
2018-05-23,3.82260506,3.82260506,3.74387864,3.74387864,369528128,1593871315.48
2018-05-24,3.73513126,3.77886816,3.70014174,3.70888912,341214304,1455332963.91
2018-05-25,3.70014174,3.70888912,3.5864258,3.60392056,581384896,2407618263.24
2018-05-28,3.60392056,3.62141532,3.498952,3.5426889,413731936,1683469726.71
2018-05-29,3.53394152,3.61266794,3.51644676,3.56893104,301199760,1230120627.51
2018-05-30,3.498952,3.51644676,3.4114782,3.42897296,555596768,2203367965.42
2018-05-31,3.4552151,3.6301627,3.3677413,3.60392056,899572848,3612609118.02
2018-06-01,3.56893104,3.59517318,3.50769938,3.53394152,457193952,1857366673.09
2018-06-04,3.56018366,3.62141532,3.53394152,3.56893104,397041744,1626536464.41
2018-06-05,3.57767842,3.69139436,3.55143628,3.66515222,578952720,2404365040.26
2018-06-06,3.64765746,3.65640484,3.60392056,3.62141532,335776720,1393654549.37
2018-06-07,3.6301627,3.6738996,3.60392056,3.61266794,338094096,1404693457.73
2018-06-08,3.59517318,3.60392056,3.50769938,3.53394152,385583600,1559331425.76
2018-06-11,3.51644676,3.56893104,3.48145724,3.50769938,342449680,1380082787.56
2018-06-12,3.52519414,3.56893104,3.48145724,3.55143628,315286144,1272045067.68
2018-06-13,3.52519414,3.55143628,3.48145724,3.49020462,295768624,1187202316.28
2018-06-14,3.46396248,3.53394152,3.4552151,3.48145724,264856282,1058065654.48
2018-06-15,3.49020462,3.50769938,3.40273082,3.42022558,372590560,1466532940.8
2018-06-19,3.30650964,3.35899392,3.08782514,3.12281466,971893888,3576589123.37
2018-06-20,3.13156204,3.1927937,3.061583,3.1490568,546314400,1957097098.37
2018-06-21,3.1490568,3.16655156,2.98285658,2.99160396,570756320,2004272119.89
2018-06-22,2.95661444,3.061583,2.89538278,3.02659348,471745184,1612482623.36
