time,open,high,low,close,volume,amount
2018-01-02,4.66146766,4.79598282,4.656294,4.76494086,130680749,1201398101.0
2018-01-03,4.77011452,4.79598282,4.73907256,4.77011452,115826566,1068519268.0
2018-01-04,4.77528818,4.78046184,4.73907256,4.74941988,79694086,731922841.0
2018-01-05,4.75459354,4.9925819,4.73907256,4.90980334,422007280,3995471881.0
2018-01-08,4.89945602,5.00810288,4.8891087,4.92532432,333478544,3193259438.0
2018-01-09,4.93049798,4.9667136,4.86841406,4.8891087,188373295,1786405967.0
2018-01-10,4.90462968,5.0443185,4.89428236,4.97188726,315690176,3040262563.0
2018-01-11,4.96153994,4.98740824,4.92015066,4.95636628,171676520,1644342696.0
2018-01-12,4.93567164,4.98740824,4.89945602,4.90980334,143651413,1369702592.0
2018-01-15,4.90980334,4.98740824,4.8891087,4.93049798,307041824,2938923176.0
2018-01-16,4.92015066,4.97188726,4.85289308,4.92532432,347611824,3295717332.0
2018-01-17,5.02879752,5.17883366,4.94601896,5.03397118,731243888,7182090850.0
2018-01-18,4.9925819,5.44786398,4.9925819,5.3547381,1070147248,10816194595.0
2018-01-19,5.34956444,5.39612738,5.26161222,5.3547381,613541040,6317451378.0
2018-01-22,5.33404346,5.44269032,5.31852248,5.41164836,518547040,5393732755.0
2018-01-23,5.39612738,5.49960058,5.3547381,5.46338496,540761232,5671863903.0
2018-01-24,5.4840796,5.6134211,5.34439078,5.41164836,572404368,6032455763.0
2018-01-25,5.39095372,5.42199568,5.29265418,5.36508542,452329472,4677599687.0
2018-01-26,5.34439078,5.55133718,5.30817516,5.52029522,568826784,5989304611.0
2018-01-29,5.52546888,5.58237914,5.3806064,5.432343,409394864,4342319172.0
2018-01-30,5.39612738,5.46338496,5.2512649,5.25643856,332729104,3436274136.0
2018-01-31,5.24091758,5.29265418,5.16331268,5.23574392,401730768,4063477664.0
2018-02-01,5.26678588,5.29265418,5.17883366,5.26678588,430825344,4367268517.0
2018-02-02,5.21504928,5.26161222,5.07536046,5.24091758,294746016,2955414281.0
2018-02-05,5.16331268,5.38578006,5.15296536,5.37543274,357447792,3662197488.0
2018-02-06,5.3030015,5.3547381,5.18918098,5.27195954,502706912,5125327758.0
2018-02-07,5.3288698,5.40130104,5.14261804,5.15813902,532135696,5412810212.0
2018-02-08,5.09088144,5.11674974,4.73907256,4.88393504,500145984,4794894378.0
2018-02-09,4.6821623,4.7338989,4.40278466,4.5786891,540269472,4778678714.0
2018-02-12,4.59421008,4.64594668,4.52177884,4.57351544,191170693,1693182321.0
2018-02-13,4.66146766,4.71837792,4.6304257,4.656294,221725624,2001565474.0
2018-02-14,4.67181498,4.69250962,4.62007838,4.64594668,103119223,927320309.0
2018-02-22,4.72355158,4.7338989,4.67181498,4.71837792,146311265,1331936624.0
2018-02-23,4.72355158,4.84254576,4.72355158,4.82185112,224432883,2083243767.0
2018-02-26,4.8632404,4.8632404,4.7080306,4.83219844,223944690,2069985127.0
2018-02-27,4.8373721,4.84254576,4.74424622,4.78046184,156149358,1441321895.0
2018-02-28,4.7338989,4.7597672,4.6821623,4.71320426,119910234,1093825064.0
2018-03-01,4.69250962,4.7338989,4.66664132,4.7080306,104776442,952928312.0
2018-03-02,4.64594668,4.69250962,4.63559936,4.66146766,92401728,833231918.0
2018-03-05,4.656294,4.71837792,4.656294,4.67698864,79907252,722698827.0
2018-03-06,4.7080306,4.71837792,4.65112034,4.71320426,117159887,1061727137.0
2018-03-07,4.7080306,4.73907256,4.656294,4.66664132,114858770,1042749375.0
2018-03-08,4.656294,4.69768328,4.64077302,4.67181498,102372518,923254675.0
2018-03-09,4.6821623,4.68733596,4.64594668,4.66664132,108138669,974293191.0
2018-03-12,4.68733596,4.69768328,4.64594668,4.67181498,133428388,1203043700.0
2018-03-13,4.67181498,4.67181498,4.60973106,4.62525204,153249668,1372436511.0
2018-03-14,4.61490472,4.62525204,4.5786891,4.59938374,93894514,833960904.0
2018-03-15,4.5786891,4.61490472,4.57351544,4.6045574,65283943,580155019.0
2018-03-16,4.6045574,4.6304257,4.5786891,4.58386276,66296363,589901555.0
2018-03-19,4.58386276,4.59421008,4.5528208,4.57351544,74468694,658619315.0
2018-03-20,4.58903642,4.6304257,4.5786891,4.6045574,85242073,759183664.0
2018-03-21,4.61490472,4.64594668,4.58903642,4.60973106,87666128,782215723.0
2018-03-22,4.6045574,4.61490472,4.54247348,4.6045574,102233526,905641695.0
2018-03-23,4.51660518,4.6045574,4.45452126,4.59421008,315115232,2763952233.0
2018-03-26,4.56316812,4.56834178,4.49073688,4.51660518,88861100,776443102.0
2018-03-27,4.56316812,4.57351544,4.50625786,4.53212616,71507252,626837241.0
2018-03-28,4.49591054,4.54247348,4.44417394,4.48038956,98435055,852950421.0
