time,open,high,low,close,volume,amount
2018-01-02,32.63592418,32.9349553,32.0212491,32.50302146,24266850,949143499.46
2018-01-03,32.5196343,33.641001,32.5196343,32.92664888,46104178,1840326239.75
2018-01-04,33.21737358,33.7240652,32.92664888,33.641001,42104635,1693894501.88
2018-01-05,33.641001,33.641001,32.95987456,33.04293876,33931697,1353928112.56
2018-01-08,33.04293876,33.9317257,32.96818098,33.8901936,42068181,1703500153.77
2018-01-09,33.9732578,34.3055146,33.46656618,33.9732578,33841836,1382592141.47
2018-01-10,34.28059534,34.886964,33.95664496,34.57132004,45570407,1891878257.68
2018-01-11,34.72914202,35.3438171,34.45503016,34.8038998,31940963,1340410252.69
2018-01-12,34.98664104,35.70099316,34.56301362,35.56809044,36377741,1540282405.56
2018-01-15,35.6345418,35.89204082,34.886964,35.37704278,39288622,1676775194.32
2018-01-16,35.302285,36.37381318,35.20260796,35.37704278,40352017,1740740540.03
2018-01-17,35.4268813,35.60962254,33.5579368,34.35535312,45465572,1879509568.53
2018-01-18,34.6793035,34.69591634,33.5579368,33.7240652,39560833,1615405122.22
2018-01-19,33.71575878,33.9317257,33.1010837,33.4748726,30348542,1223854081.84
2018-01-22,33.4333405,34.60454572,33.3918084,34.5131751,36119225,1489855820.53
2018-01-23,34.72914202,35.91696008,34.72914202,35.0530924,42009391,1785943424.22
2018-01-24,35.3853492,35.4684134,34.056322,34.056322,41992581,1751999756.69
2018-01-25,34.4301109,34.886964,33.9317257,34.29720818,36196296,1499174523.65
2018-01-26,34.1393862,34.57962646,33.92341928,34.12277336,23161861,953480260.93
2018-01-29,34.3055146,34.4301109,32.810359,32.8934232,45941945,1838687945.92
2018-01-30,32.79374616,33.33366346,32.08770046,32.8934232,27701511,1092851631.52
2018-01-31,32.9764874,33.3918084,32.6857627,33.1426158,20962325,835759199.39
2018-02-01,33.38350198,33.8486615,32.76052048,32.95987456,30116874,1209515474.64
2018-02-02,33.13430938,33.53301754,32.9764874,33.38350198,24362466,974978460.36
2018-02-05,32.9764874,33.30043778,32.32028022,32.38673158,36532546,1437607720.75
2018-02-06,31.41488044,31.7305244,29.5708552,30.40980362,69211590,2558966434.22
2018-02-07,31.2321392,31.75544366,30.1523046,30.2353688,46544328,1733454529.42
2018-02-08,30.39319078,32.07939404,30.318433,32.00463626,49838493,1886271975.85
2018-02-09,30.8583503,31.40657402,30.318433,31.03278512,45079007,1674228284.95
2018-02-12,31.55608958,32.58608566,31.05770438,32.32858664,39761938,1531775968.61
2018-02-13,32.73560122,33.25890568,32.44487652,32.57777924,25026738,987912291.43
2018-02-14,32.79374616,33.15922864,32.12092614,32.7688269,18852287,742405102.31
2018-02-22,33.3918084,33.641001,32.95987456,33.59116248,24829099,998337579.23
2018-02-23,33.8901936,34.3055146,33.59116248,34.03970916,26354093,1078937421.87
2018-02-26,34.27228892,36.19937836,34.27228892,35.717606,62476497,2669265226.67
2018-02-27,36.132927,36.8805048,34.886964,35.3438171,52103091,2246306808.15
2018-02-28,34.97833462,35.87542798,34.90357684,35.36042994,26940403,1149234193.55
2018-03-01,35.04478598,36.7974406,34.93680252,36.78913418,53029537,2317379835.85
2018-03-02,36.57316726,36.7143764,35.48502624,35.5514776,36852828,1596061987.57
2018-03-05,35.68438032,36.0913949,35.0115603,35.50163908,23450593,1001083029.86
2018-03-06,35.717606,36.2159912,35.41026846,35.8006702,19441185,837393938.84
2018-03-07,35.717606,35.717606,34.2224504,34.5547072,30986110,1306295057.93
2018-03-08,34.61285214,35.5514776,34.16430546,35.26905932,26222903,1104309460.11
2018-03-09,35.65115464,36.6313122,35.20260796,36.32397466,43525421,1891232170.74
2018-03-12,36.6313122,37.03832678,36.05816922,36.5067159,29432312,1293220017.12
2018-03-13,36.5067159,36.548248,35.80897662,36.20768478,21397472,932892903.84
2018-03-14,35.98341144,36.28244256,35.37704278,35.6760739,20614334,886325282.71
2018-03-15,35.4268813,36.26582972,35.3853492,35.79236378,19698930,849843983.09
2018-03-16,35.68438032,35.70929958,34.54640078,34.60454572,33114121,1396988836.96
2018-03-19,34.64607782,35.70099316,34.64607782,35.302285,22609106,959282375.19
2018-03-20,34.92018968,35.5930097,34.79559338,35.3853492,16551954,703081120.48
2018-03-21,35.82558946,36.7974406,35.60962254,36.18276552,40111197,1754924234.68
