time,open,high,low,close,volume,amount
2021-01-04 15:00:00,81.26613,83.772315,80.551251,81.356517,33882680,3379358336.0
2021-01-05 15:00:00,80.584119,83.764098,79.7049,83.435418,35114801,3515823440.0
2021-01-06 15:00:00,84.6351,86.11416,81.882405,82.958832,36020338,3662399232.0
2021-01-07 15:00:00,83.8134,86.829039,83.15604,86.130594,45140052,4687111424.0
2021-01-08 15:00:00,85.4568,86.03199,83.197125,84.643317,33069048,3409516336.0
2021-01-11 15:00:00,84.79944,85.727961,82.17,82.9917,34189187,3506431344.0
2021-01-12 15:00:00,82.424727,85.686876,82.424727,85.53897,35529586,3670971680.0
2021-01-13 15:00:00,86.2785,86.861907,83.846268,84.914478,34348739,3560584736.0
2021-01-14 15:00:00,85.12812,85.777263,81.668763,81.84132,37381528,3780641248.0
2021-01-15 15:00:00,81.372951,82.309689,79.524126,81.915273,35743823,3524028272.0
2021-01-18 15:00:00,81.668763,82.400076,80.123967,81.446904,28677180,2849767536.0
2021-01-19 15:00:00,81.915273,82.260387,77.634216,77.938245,42307807,4087923632.0
2021-01-20 15:00:00,78.8832,80.625204,78.47235,79.113276,32202327,3113133920.0
2021-01-21 15:00:00,79.902108,82.9917,79.696683,82.25217,40930171,4074982800.0
2021-01-22 15:00:00,82.17,83.427201,80.600553,82.638369,30775582,3069095088.0
2021-01-25 15:00:00,82.9917,84.528279,81.10179,83.796966,37735992,3802697808.0
2021-01-26 15:00:00,82.9917,82.9917,79.78707,80.477298,40767026,4006657952.0
2021-01-27 15:00:00,79.778853,82.038528,79.195446,80.485515,28326851,2781047168.0
2021-01-28 15:00:00,79.318701,79.696683,77.65065,78.192972,31057214,2959282880.0
2021-01-29 15:00:00,78.349095,80.354043,76.976856,79.154361,37246508,3576339184.0
2021-02-01 15:00:00,79.154361,80.945667,77.782122,80.69094,28606271,2784442672.0
2021-02-02 15:00:00,80.03358,82.33434,80.03358,81.003186,31544355,3125263984.0
2021-02-03 15:00:00,81.75915,82.49868,79.04754,80.230788,32395536,3178416768.0
2021-02-04 15:00:00,79.121493,80.189703,78.250491,79.21188,36486402,3514921392.0
2021-02-05 15:00:00,79.688466,80.830629,78.0615,79.910325,37262393,3600456016.0
2021-02-08 15:00:00,79.918542,80.11575,77.56848,79.425522,37743563,3614401920.0
2021-02-09 15:00:00,80.189703,83.73123,79.614513,83.73123,53712247,5347054592.0
2021-02-10 15:00:00,84.569364,88.7436,83.40255,88.012287,53679907,5641813760.0
2021-02-18 15:00:00,88.020504,88.217712,79.7049,80.77311,94042908,9433652480.0
2021-02-19 15:00:00,78.069717,80.797761,78.069717,80.518383,69387709,6722204928.0
2021-02-22 15:00:00,79.934976,79.934976,74.265246,74.314548,90398609,8324148736.0
2021-02-23 15:00:00,73.172385,75.5964,72.991611,74.725398,60475531,5494666752.0
2021-02-24 15:00:00,78.96537,81.01962,76.516704,78.077934,100354633,9587929088.0
2021-02-25 15:00:00,77.97933,78.710643,75.67857,77.190498,41637020,3934052800.0
2021-02-26 15:00:00,75.5964,77.642433,74.791134,76.483836,60112303,5569084672.0
2021-03-01 15:00:00,76.74678,78.30801,75.456711,76.689261,37084402,3475175712.0
2021-03-02 15:00:00,77.954679,78.751728,76.17159,76.845384,47339822,4469317376.0
2021-03-03 15:00:00,76.196241,77.009724,75.18555,76.820733,33059187,3072269136.0
